date,source,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,up_13pct_34d,down_13pct_34d,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,net_advances,rana,ad_line,mcclellan_osc
2025-01-23,backfill,2620,6118.7099609375,222,163,1.3778,0.8789,420,380,229,77,77,18,346.0,574.0,46.72,51.11,46.18,60.88,1490,1034,122,62,456,180.67,-5807,39.44
2025-01-24,backfill,2622,6101.240234375,197,176,1.3604,1.0447,415,376,205,79,72,19,361.0,523.0,46.99,50.8,46.07,61.14,1250,1270,96,39,-20,-7.94,-5827,34.98
2025-01-27,backfill,2622,6012.27978515625,130,526,0.8684,1.0273,393,363,163,100,59,26,303.0,570.0,47.67,51.14,45.96,58.01,1176,1378,74,64,-202,-79.09,-6029,27.43
2025-01-28,backfill,2622,6067.7001953125,223,186,0.7494,1.1653,408,368,147,118,47,33,346.0,519.0,46.87,50.65,45.84,57.21,1180,1330,100,88,-150,-59.76,-6179,21.8
2025-01-29,backfill,2622,6039.31005859375,137,200,0.7266,1.1407,410,366,127,148,40,41,313.0,584.0,46.11,50.34,44.28,53.81,1068,1447,76,85,-379,-150.7,-6558,12.34
2025-01-30,backfill,2625,6071.169921875,316,148,0.8115,1.0476,409,381,152,140,42,40,343.0,547.0,51.66,51.39,48.99,59.39,1769,753,143,58,1016,402.85,-5542,31.86
2025-01-31,backfill,2626,6040.52978515625,137,287,0.7001,0.9624,391,390,141,151,33,42,316.0,568.0,47.79,49.96,44.9,54.84,770,1751,62,87,-981,-389.13,-6523,8.79
2025-02-03,backfill,2628,5994.56982421875,113,374,0.7749,0.8233,368,395,140,162,36,38,290.0,629.0,42.01,48.14,38.96,45.36,679,1864,61,151,-1185,-465.99,-7708,-14.82
2025-02-04,backfill,2628,6037.8798828125,391,128,0.9622,0.849,433,344,143,174,38,37,370.0,503.0,48.4,50.23,44.03,53.39,1769,770,107,77,999,393.46,-6709,8.05
2025-02-05,backfill,2630,6061.47998046875,312,143,1.175,0.9344,443,332,133,197,38,44,432.0,448.0,53.0,51.56,48.33,57.91,1667,857,142,69,810,320.92,-5899,23.92
2025-02-06,backfill,2632,6083.56982421875,211,264,0.9732,0.891,438,341,112,204,37,46,431.0,450.0,52.96,50.99,47.95,57.1,1205,1322,132,92,-117,-46.3,-6016,19.02
2025-02-07,backfill,2632,6025.990234375,124,331,0.9282,0.8094,376,375,108,206,38,43,415.0,489.0,49.24,49.73,43.84,49.92,692,1852,67,140,-1160,-455.97,-7176,-5.75
2025-02-10,backfill,2632,6066.43994140625,228,206,1.181,0.9669,335,395,143,158,46,33,592.0,351.0,50.72,50.49,45.74,49.51,1344,1206,113,131,138,54.12,-7038,-1.4
2025-02-11,backfill,2633,6068.5,142,358,0.7811,0.8655,317,409,162,166,45,34,577.0,387.0,50.44,50.4,45.69,47.13,1115,1417,78,141,-302,-119.27,-7340,-6.34
2025-02-12,backfill,2633,6051.97021484375,229,198,0.6883,0.904,318,405,186,133,55,30,508.0,429.0,47.13,48.8,42.73,41.13,975,1578,82,132,-603,-236.19,-7943,-16.38
2025-02-13,backfill,2635,6115.06982421875,320,138,0.8473,0.9094,315,397,203,129,68,25,559.0,394.0,51.42,50.85,48.05,48.54,1888,662,156,65,1226,480.78,-6717,10.97
2025-02-14,backfill,2635,6114.6298828125,257,213,1.0566,0.989,328,381,177,133,62,28,517.0,424.0,52.9,50.78,48.39,48.16,1230,1307,120,73,-77,-30.35,-6794,8.74
2025-02-18,backfill,2636,6129.580078125,247,277,1.0093,1.0909,343,350,169,139,55,31,495.0,468.0,53.22,51.63,50.34,50.95,1409,1133,148,97,276,108.58,-6518,13.74
2025-02-19,backfill,2636,6144.14990234375,173,243,1.1469,0.946,353,326,159,152,53,33,526.0,470.0,51.59,50.64,49.17,48.25,1091,1451,127,98,-360,-141.62,-6878,5.43
2025-02-20,backfill,2638,6117.52001953125,143,303,0.971,0.8194,356,301,126,174,49,33,527.0,484.0,47.99,49.62,46.47,43.14,877,1652,65,100,-775,-306.45,-7653,-9.94
2025-02-21,backfill,2638,6013.1298828125,98,596,0.5625,0.6849,303,337,113,205,44,42,432.0,566.0,40.41,46.06,40.3,33.66,505,2052,35,138,-1547,-605.01,-9200,-37.96
2025-02-24,backfill,2638,5983.25,114,470,0.4103,0.6499,265,350,92,256,37,41,361.0,651.0,36.66,44.24,37.64,30.48,908,1643,44,158,-735,-288.12,-9935,-45.88
2025-02-25,backfill,2640,5955.25,138,438,0.3249,0.5754,243,382,76,288,30,57,303.0,754.0,36.55,44.24,37.23,29.58,1100,1462,58,190,-362,-141.3,-10297,-45.08
2025-02-26,backfill,2640,5956.06005859375,322,162,0.4139,0.6718,242,403,96,231,39,40,328.0,751.0,37.35,44.39,38.07,30.95,1388,1164,47,144,224,87.77,-10073,-32.73
2025-02-27,backfill,2640,5861.56982421875,117,497,0.3648,0.5781,201,461,79,277,31,43,310.0,813.0,33.75,42.65,35.3,27.31,737,1819,39,225,-1082,-423.32,-11155,-47.55
2025-02-28,backfill,2640,5954.5,237,216,0.5205,0.5406,207,494,85,266,28,45,358.0,718.0,36.06,43.98,37.88,31.74,1665,871,77,147,794,313.09,-10361,-23.16
2025-03-03,backfill,2640,5849.72021484375,74,874,0.406,0.408,185,567,60,393,26,47,369.0,805.0,28.71,40.27,30.68,24.02,491,2093,60,349,-1602,-619.97,-11963,-48.85
2025-03-04,backfill,2640,5778.14990234375,196,340,0.4528,0.3895,160,587,63,367,30,46,323.0,811.0,25.08,37.35,27.65,20.57,844,1714,23,270,-870,-340.11,-12833,-56.58
2025-03-05,backfill,2640,5842.6298828125,458,119,0.5288,0.4725,176,580,85,300,35,39,348.0,757.0,29.47,39.58,30.8,26.17,1793,764,51,105,1029,402.42,-11804,-25.78
2025-03-06,backfill,2644,5738.52001953125,172,444,0.5705,0.4634,164,602,71,369,29,42,279.0,875.0,27.12,37.22,28.67,24.7,864,1686,22,131,-822,-322.35,-12626,-35.55
2025-03-07,backfill,2646,5770.2001953125,278,177,0.6029,0.5636,159,584,72,383,25,51,288.0,878.0,29.71,38.51,30.61,28.84,1476,1053,33,95,423,167.26,-12203,-19.25
2025-03-10,backfill,2646,5614.56005859375,70,945,0.5798,0.4896,142,675,49,492,21,59,231.0,1049.0,23.51,32.77,24.41,21.81,418,2159,28,252,-1741,-675.59,-13944,-47.35
2025-03-11,backfill,2646,5572.06982421875,319,256,0.6682,0.5566,147,645,58,430,19,56,205.0,1116.0,22.68,31.97,24.19,21.24,1190,1345,20,196,-155,-61.14,-14099,-40.43
2025-03-12,backfill,2646,5599.2998046875,339,174,0.5902,0.5591,151,644,64,406,23,50,226.0,1069.0,22.64,32.69,24.11,20.94,1401,1151,23,171,250,97.96,-13849,-26.35
2025-03-13,backfill,2647,5521.52001953125,118,507,0.5459,0.558,137,703,58,431,20,54,200.0,1197.0,20.44,30.07,21.95,19.08,661,1887,26,280,-1226,-481.16,-15075,-43.13
