date,class,title,subtitle,audience,likes,comments,url
2025-06-22,C · Focus Stocks 预告帖,Block Out The Noise,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,8,2,https://thesetupfactory.substack.com/p/block-out-the-noise
2025-06-19,E · TSF 教学/模型,TSF - Risk Management & Position Sizing Guide,We Already Have “The TSF Guide For Buying Breakouts”,only_paid,13,7,https://thesetupfactory.substack.com/p/tsf-risk-management-and-position
2025-06-17,C · Focus Stocks 预告帖,"Two Stocks That Might Be The Best Opportunities This Year, Quantum Observations, Semis And More Setups",We Have Already Updated Our TSF-Focus Stocks Going Into This Week,only_paid,5,4,https://thesetupfactory.substack.com/p/two-stocks-that-might-be-the-best
2025-06-15,C · Focus Stocks 预告帖,Which Direction Is The Pain Trade?,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,9,0,https://thesetupfactory.substack.com/p/which-direction-is-the-pain-trade
2025-06-13,G · 周末宏观大稿,Rising Geopolitical Tension - TSF Trade Plan,Good Morning Everyone,everyone,13,1,https://thesetupfactory.substack.com/p/rising-geopolitical-tension-tsf-trade
2025-06-12,G · 周末宏观大稿,Use A Stocks Lifecycle To Your Advantage,Building A Long Term Buy And Hold Portfolio Makes Sense,everyone,6,0,https://thesetupfactory.substack.com/p/use-a-stocks-lifecycle-to-your-advantage
2025-06-12,G · 周末宏观大稿,"Themes, Themes, Themes",It Was A Long Time Ago That I Saw,only_paid,6,0,https://thesetupfactory.substack.com/p/themes-themes-themes
2025-06-10,G · 周末宏观大稿,Two Groups Of Stocks Stand Out And A High Potential IPO Setting Up,Today We Are Going To Focus On Two Groups Of Stocks,everyone,10,1,https://thesetupfactory.substack.com/p/two-groups-of-stocks-stand-out-and
2025-06-09,G · 周末宏观大稿,Portfolio Update,Next Post Was Planned On Tuesday As Usual,only_paid,6,0,https://thesetupfactory.substack.com/p/portfolio-update-626
2025-06-08,G · 周末宏观大稿,Risk On?,Free Post For All To Read,everyone,11,2,https://thesetupfactory.substack.com/p/risk-on
2025-06-05,G · 周末宏观大稿,Three Top IPOs Setting Up And Some High Octane Stocks,Todays Agenda,only_paid,8,2,https://thesetupfactory.substack.com/p/three-top-ipos-setting-up-and-some
