date,close,sma21,cycle
2015-06-25,101.51179504394531,101.02760714576358,6
2015-06-26,100.8381576538086,100.97549075172061,-1
2015-06-29,98.45726013183594,100.83893512544178,-2
2015-06-30,98.80792999267578,100.7028557913644,-3
2015-07-01,99.59231567382812,100.61947341192337,-4
2015-07-02,99.62000274658203,100.52294122605096,-5
2015-07-06,99.38928985595703,100.45225197928292,-6
2015-07-07,99.63846588134766,100.40482620965867,-7
2015-07-08,97.90355682373047,100.32345290411087,-8
2015-07-09,97.84817504882812,100.24733370826358,-9
2015-07-10,99.34317016601562,100.17751639229911,-10
2015-07-13,101.08733367919922,100.1837401617141,1
2015-07-14,101.75177001953125,100.26106407528832,2
2015-07-15,101.86250305175781,100.36733500162761,3
2015-07-16,103.3021240234375,100.51629202706474,4
2015-07-17,104.8248062133789,100.72460501534599,5
2015-07-20,105.18473052978516,100.8803445725214,6
2015-07-21,105.1201400756836,101.05700429280598,7
2015-07-22,103.92967987060547,101.14137813023159,8
2015-07-23,103.54206085205078,101.20333934965588,9
2015-07-24,102.52693176269531,101.24200948079427,10
2015-07-27,101.67794036865234,101.24992116292317,11
2015-07-28,102.55464172363281,101.33165849958148,12
2015-07-29,102.94223022460938,101.54522850399925,13
2015-07-30,103.43132781982422,101.76539030529204,14
2015-07-31,103.31133270263672,101.94248635428292,15
2015-08-03,102.98836517333984,102.10288456508091,16
2015-08-04,102.79454803466797,102.2650397164481,17
2015-08-05,103.58818054199219,102.45312136695499,18
2015-08-06,101.92709350585938,102.64471835181827,-1
2015-08-07,101.79792022705078,102.83280145554315,-2
2015-08-10,102.9606704711914,103.00506337483723,-3
2015-08-11,101.64102172851562,103.03142947242374,-4
2015-08-12,101.99171447753906,103.04285539899554,-5
2015-08-13,101.82557678222656,103.04109700520833,-6
2015-08-14,101.98250579833984,102.97825804210845,-7
2015-08-17,102.83148956298828,102.88333820161365,-8
2015-08-18,102.30548858642578,102.74623144240607,-9
2015-08-19,101.63180541992188,102.58012026832218,-10
2015-08-20,98.817138671875,102.33666592552548,-11
2015-08-21,94.498291015625,101.90601021902901,-12
2015-08-24,90.8623275756836,101.35055287679036,-13
2015-08-25,90.5208740234375,100.8192640032087,-14
2015-08-26,95.07965087890625,100.46331205822173,-15
2015-08-27,97.48828125,100.20360020228794,-16
2015-08-28,97.46981048583984,99.91971842447917,-17
2015-08-31,96.26092529296875,99.58398473830451,-18
2015-09-01,93.25244903564453,99.12036968412853,-19
2015-09-02,95.8825454711914,98.79122670491536,-20
