baseline_sd_median_excess_10,baseline_sd_median_excess_21,baseline_sd_median_excess_5,distinct_signal_dates,lost,mean_excess_10,mean_excess_21,mean_excess_5,measured_first,measured_last,median_excess_10,median_excess_21,median_excess_5,median_mae_r_10,median_mae_r_21,median_mae_r_5,median_mfe_r_10,median_mfe_r_21,median_mfe_r_5,n,net_mean_excess_10,net_mean_excess_21,net_mean_excess_5,net_median_excess_10,net_median_excess_21,net_median_excess_5,net_median_mae_r_10,net_median_mae_r_21,net_median_mae_r_5,net_median_mfe_r_10,net_median_mfe_r_21,net_median_mfe_r_5,net_win_rate_10,net_win_rate_21,net_win_rate_5,sequence,under_powered,unstable,win_rate_10,win_rate_21,win_rate_5
0.005831,0.008479,0.004806,60,30,-0.000405,-0.008184,-0.003094,2026-03-10,2026-06-30,-0.010573,-0.01973,-0.005489,-1.4252,-2.1699,-1.0158,1.5907,2.3021,1.014,246,-0.01768,-0.04606,-0.010738,-0.022047,-0.037629,-0.00887,-0.29035,-0.686915,-0.146505,-0.23192,-0.75518,-0.088,-0.093267,-0.121336,-0.062423,vcp -> gainers_4pct,False,True,0.45935,0.443089,0.45935
0.005227,0.007933,0.004773,76,26,-0.004437,-0.006667,-0.001279,2026-03-10,2026-06-30,-0.018524,-0.031286,-0.007349,-1.5924,-2.3822,-1.1039,1.4563,2.1689,0.97,389,-0.024767,-0.043997,-0.010971,-0.030414,-0.055327,-0.012035,-0.41742,-0.855155,-0.23134,-0.281885,-0.813345,-0.11308,-0.125628,-0.156694,-0.061637,vcp -> healthy_charts,False,False,0.426735,0.413882,0.473008
0.018877,0.034865,0.013941,34,13,0.026877,-0.016386,0.0244,2026-03-18,2026-06-25,0.019851,-0.051735,0.018302,-1.3195,-2.2908,-0.8373,2.1255,2.7266,1.5768,52,-0.015846,-0.089997,-0.000183,-0.014498,-0.100842,0.002343,-0.240925,-0.828285,0.0225,-0.0202,-0.90248,0.33884,-0.08206,-0.289833,-0.012303,vcp -> momentum_97,False,True,0.538462,0.326923,0.576923
0.013415,0.021376,0.007477,39,7,-0.007088,0.019944,-0.014578,2026-03-11,2026-06-26,-0.022637,-0.008968,-0.018483,-1.698,-2.1471,-1.2735,1.2138,2.3021,0.7838,74,-0.029869,-0.026043,-0.025131,-0.038767,-0.040812,-0.022466,-0.55963,-0.808675,-0.44054,-0.6099,-0.965115,-0.35279,-0.214131,-0.134319,-0.201701,vcp -> vol_up_gainers,False,False,0.364865,0.459459,0.324324
0.006853,0.013504,0.005553,70,70,0.012268,-0.002545,0.003031,2026-03-10,2026-06-30,-0.002844,-0.014061,-0.002767,-1.3971,-1.8522,-1.0203,1.4675,2.3591,0.9424,347,-0.017249,-0.057749,-0.009589,-0.018229,-0.048251,-0.00822,-0.2409,-0.32788,-0.17012,-0.41757,-0.8712,-0.17369,-0.071873,-0.115762,-0.03469,vol_up_gainers -> ema21_watch,False,False,0.487032,0.463977,0.495677
0.014012,0.028212,0.010042,58,12,0.029241,0.03789,-0.006446,2026-03-10,2026-06-29,-0.021175,-0.004871,-0.016384,-1.7918,-2.1228,-1.331,1.8139,2.8632,1.4875,137,-0.019687,-0.066129,-0.03298,-0.038022,-0.059048,-0.024427,-0.689765,-0.699945,-0.53108,-0.043,-0.50374,0.372145,-0.123698,-0.102499,-0.103419,vol_up_gainers -> episodic_pivot,False,False,0.437956,0.489051,0.437956
0.002956,0.004445,0.002051,76,583,0.008034,0.006502,0.003566,2026-03-10,2026-06-30,-0.007553,-0.022337,-0.004301,-1.402,-1.9847,-0.9548,1.6787,2.548,1.104,2385,-0.01155,-0.027544,-0.01086,-0.00408,-0.014735,-0.002832,-0.23379,-0.37336,-0.128995,0.15618,0.01059,0.11714,-0.015229,-0.034095,-0.013314,vol_up_gainers -> gainers_4pct,False,False,0.471279,0.447379,0.477987
0.004561,0.00772,0.002751,76,134,0.015327,0.015789,0.00843,2026-03-10,2026-06-30,-0.002844,-0.015869,0.002981,-1.4662,-2.0283,-1.0527,1.6369,2.5368,1.133,983,-0.018396,-0.053473,-0.008772,-0.019535,-0.05655,-0.005142,-0.34336,-0.5665,-0.23772,-0.22454,-0.807775,0.000255,-0.070978,-0.133548,-0.029829,vol_up_gainers -> healthy_charts,False,True,0.49237,0.461851,0.516785
0.004997,0.008214,0.00285,76,204,0.014963,0.007178,0.014924,2026-03-10,2026-06-30,-0.004899,-0.023607,0.002377,-1.4613,-2.1085,-1.0366,1.7867,2.8089,1.2508,939,-0.022504,-0.087197,-0.004276,-0.019295,-0.05822,-0.00391,-0.3441,-0.616195,-0.214305,-0.01798,-0.381505,0.15159,-0.072885,-0.131181,-0.02335,vol_up_gainers -> momentum_97,False,True,0.478168,0.44196,0.509052
0.011236,0.020889,0.007806,41,5,0.004403,0.023796,0.00693,2026-03-10,2026-06-25,-0.015296,4.9e-05,0.009107,-1.5148,-1.9762,-1.0489,1.7923,2.2321,1.0776,60,-0.007346,0.001773,0.000379,-0.019882,-0.011489,0.007055,-0.37209,-0.53808,-0.1589,0.03387,-0.61229,0.049605,-0.091543,-0.047671,0.086093,vol_up_gainers -> vcp,False,False,0.433333,0.5,0.6
