perf_1w,perf_1m,perf_3m,perf_6m,perf_1w_pctile,perf_3m_pctile,rs_1m,rs_3m,rs_6m,h_score,rel_volume,adr_pct,market_cap,vcs,atr_from_sma50,ema21_atr_dist,sma50_dist,sma20_dist,sma200_dist,high_52w,change_pct,avg_volume,pp_count_10d,dcr_pct,vol_5d_50d,close,his,day,t,rs21,rs126,px21,px63,px126,dollar_vol
0.0214617659,0.1612265516,0.5266580705,0.3473604454,0.6993,0.9433,83,93,80,80,0.5557205884,3.9018,20460000000.0,34.3,4.4681,1.8348,0.2111500517,0.0848606516,0.1644284416,-0.2283084642,0.0340575397,10349794.7,2.0,0.9633,,35.22,False,2026-08-13,TOST,95.23809523809523,98.4126984126984,95.23809523809523,98.4126984126984,99.20634920634922,364519769.334
0.1269646294,0.2502264329,0.2765317707,0.1627185063,0.9447,0.8589,91,82,62,66,2.0208873227,3.6752,21230000000.0,0.1,5.7833,4.3024,0.26991938,0.2025178381,0.1356558914,-0.1947868042,0.0851021632,2859284.6,6.0,0.983,,55.21,True,2026-08-13,TPG,100.0,99.20634920634922,100.0,100.0,100.0,157861102.766
0.0916928224,0.1699338398,0.6295651643,0.4491183366,0.9115,0.9598,84,95,85,83,0.8626702085,5.54,8940000000.0,25.7,3.4575,2.032,0.2369293676,0.1512965565,0.1921915547,-0.2191016033,0.0184782277,1392273.65,2.0,0.9746,,93.7,False,2026-08-13,TTAN,100.0,99.20634920634922,100.0,100.0,100.0,130456041.005
0.0648837422,0.5167273967,0.6785190529,1.33027999,0.8701,0.9653,98,96,97,87,0.9268653813,4.667,20150000000.0,0.1,6.7869,4.2011,0.4635752589,0.308229665,0.4488145412,-0.1219559046,0.0282955799,11942735.4,7.0,0.9712,,45.79,False,2026-08-13,U,100.0,100.0,100.0,100.0,100.0,546857853.966
0.1868528454,0.4318305719,0.8331015578,0.5071469957,0.9716,0.9774,97,97,87,85,1.0444488463,5.4255,2150000000.0,17.3,5.6595,3.4388,0.4431184041,0.2676429176,0.1481736674,-0.5318771094,0.0522954656,870330.8,5.0,0.8705,,26.36,True,2026-08-13,VIA,100.0,100.0,100.0,100.0,100.0,22941919.888
0.1492429172,0.4195833552,0.7385262901,0.4332824672,0.9586,0.9696,97,96,84,84,3.2072329062,5.9339,50990000000.0,16.4,5.0843,3.3515,0.4320495972,0.2796989832,0.267695217,-0.1737042549,0.1777625926,5080580.2,1.0,0.6022,,206.45,True,2026-08-13,WDAY,100.0,100.0,100.0,100.0,100.0,1048885782.29
0.0696939617,0.163901554,0.2162118137,0.4045332765,0.8807,0.8123,83,76,83,68,0.5114867025,4.1807,3440000000.0,4.4,3.7272,1.9723,0.1845822741,0.0993850653,0.4302074603,-0.0251862729,-0.0013197879,2502258.6,3.0,0.3587,,22.7,False,2026-08-13,WT,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,56801270.22
0.1118619188,0.3841122134,0.7864898055,0.9773031872,0.9323,0.974,96,97,95,85,0.7719343888,5.5454,7440000000.0,0.3,4.7425,3.0455,0.3568359834,0.2563357969,0.5421862838,-0.0090330731,0.0374781657,9863202.25,2.0,0.9167,,29.62,True,2026-08-13,ZETA,100.0,100.0,100.0,100.0,100.0,292148050.645
0.2623352299,0.6540406232,0.3473366589,3.6484048838,0.9836,0.8783,98,86,99,61,1.2159004921,9.7746,4500000000.0,0.6,3.1004,2.686,0.4348157146,0.3982571027,1.3376312702,-0.0905020142,0.028,2715765.0,4.0,0.176,,137.81,True,2026-08-14,AEHR,100.0,100.0,100.0,100.0,100.0,374259574.65000004
0.0535167784,0.1541038667,0.2444310245,0.2704363549,0.83,0.8108,82,77,74,76,0.6862273652,3.9949,2200000000.0,26.3,3.9446,1.9464,0.1870577979,0.1105738281,0.1169833374,-0.2313127354,-0.0051,1299715.0,3.0,0.525,,20.57,False,2026-08-14,ALKT,95.23809523809523,96.03174603174604,95.23809523809523,98.4126984126984,99.20634920634922,26735137.55
0.0689089566,0.3572915849,1.1501649927,1.0552049557,0.8717,0.987,96,99,96,86,1.1620906686,5.137,1630000000.0,3.3,6.3199,3.5781,0.4807154332,0.2829222335,0.5087872351,-0.0405007506,0.0,2357045.0,5.0,0.1406,,13.03,False,2026-08-14,AMPL,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,30712296.349999998
0.0234038969,0.1362043708,0.346143776,0.1446107422,0.6558,0.8774,78,85,58,75,0.5563658877,4.383,7230000000.0,19.4,3.4876,1.6945,0.1804435547,0.099992352,0.0756259477,-0.292742421,0.0,476485.0,2.0,0.8526,,204.21,False,2026-08-14,APPF,95.23809523809523,91.26984126984127,100.0,100.0,100.0,97303001.85000001
0.626245846,0.4482247974,0.2681347445,0.8350515261,0.9966,0.8318,97,79,94,82,2.9724772849,5.7978,4260000000.0,4.9,5.4242,4.8752,0.4587555015,0.440606251,0.4436440498,-0.3575061631,-0.0036,6651960.0,2.0,0.5,,19.51,True,2026-08-14,ARX,100.0,100.0,100.0,100.0,100.0,129779739.60000001
0.2384044273,0.3893843886,0.4899203913,0.5218721918,0.9786,0.9327,96,92,87,70,0.930599618,5.2763,4000000000.0,4.9,3.8031,3.1553,0.2510362124,0.253058855,0.5827780389,-0.0106923793,-0.0048,633570.0,2.0,0.8225,,93.0,False,2026-08-14,ATRO,100.0,100.0,100.0,100.0,100.0,58922010.0
0.0462963119,0.3997747911,0.6132382126,0.4246418065,0.8042,0.9521,96,95,84,70,1.9416701992,6.9352,5850000000.0,0.1,3.6889,2.0288,0.3437838223,0.1926693795,,-0.3706328959,0.0056,1769250.0,3.0,0.4946,,25.0,False,2026-08-14,BETA,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,44231250.0
0.0922010334,0.1563302836,0.5739260494,0.9096969836,0.9083,0.9457,82,94,94,83,1.3146037217,4.8225,4410000000.0,44.5,3.965,1.9649,0.2364135837,0.1123073985,0.3455576599,-0.0942799828,0.0029,1265020.0,4.0,0.5871,,31.6,True,2026-08-14,BWIN,100.0,100.0,100.0,100.0,100.0,39974632.0
0.0379254477,0.4339453904,0.8100621533,0.6262061752,0.764,0.9753,97,97,90,85,0.578436,4.7909,12120000000.0,2.6,6.6536,3.4327,0.467931981,0.2468119134,0.4735829806,-0.041604292,0.0,8930115.0,3.0,0.2319,,32.02,False,2026-08-14,CHYM,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,285942282.3
0.0494831744,0.11417229,0.52071391,0.6679482769,0.816,0.9381,74,93,91,67,0.6067150599,4.4761,4190000000.0000005,23.3,4.0321,2.0554,0.2202294514,0.0968602374,0.6243282006,-0.0294894652,0.0,1250175.0,1.0,0.3474,,47.72,False,2026-08-14,CLMT,95.23809523809523,99.20634920634922,95.23809523809523,98.4126984126984,99.20634920634922,59658351.0
0.0341180008,0.1785598186,0.3631910077,0.3534988726,0.7398,0.887,85,87,80,74,0.6323595803,3.8211,93160000000.0,29.7,3.8425,1.5869,0.172094006,0.0927850334,0.151679169,-0.23985988,-0.0093,4153175.0,3.0,0.6003,,215.0,False,2026-08-14,DASH,95.23809523809523,99.20634920634922,100.0,100.0,100.0,892932625.0
0.0622529599,0.2285866577,0.4398608398,0.6697321495,0.8542,0.919,90,91,91,69,0.5268127252,3.9404,3130000000.0,25.2,3.8405,2.229,0.1783164037,0.1100950361,0.563618971,-0.0162080121,0.0,259485.0,1.0,0.9389,,206.98,False,2026-08-14,DCO,100.0,100.0,100.0,100.0,100.0,53708205.3
