setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,SPCX,2026-07-20,2026-07-22,2,-0.83,1.45,3.12,-57.0,125.21,122.0,2.56,0.36,-15.6,,,,-29.2,0.0,64.0,7.4,1,long,Long in mixed structure,SPCX_2026-07-20_000,Other — 对不上三类,low
,IGV,2026-07-19,2026-07-22,3,-1.45,0.27,2.48,-547.0,93.7,91.7,2.13,0.72,2.7,1.0,-2.3,-1.6,-2.6,43.0,52.0,3.0,2,long,Long below MA200 — counter-trend,IGV_2026-07-19_000,Counter-trend (below MA200) — 三类之外,high
,XBI,2026-07-16,2026-07-20,2,-0.07,1.56,1.86,-5.0,153.16,151.0,1.41,0.52,-1.0,8.3,21.4,9.3,-7.6,82.0,52.0,2.7,1,long,Long in mixed structure,XBI_2026-07-16_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,BUG,2026-07-13,2026-07-21,6,-0.67,1.46,1.14,-46.0,40.51,39.0,3.73,1.09,10.1,18.2,30.7,7.4,-2.2,90.0,65.0,3.5,1,long,Breakout / near 52W high,BUG_2026-07-13_000,Breakout（临界，base 顶下 2-4%）,low
,CRWD,2026-07-13,2026-07-22,7,1.9,5.86,2.63,33.0,192.3,188.0,2.24,0.45,5.9,16.7,50.4,10.2,-8.2,83.0,58.0,5.1,3,long,Pullback in uptrend,CRWD_2026-07-13_000,Other — 对不上三类,low
,GOOGL,2026-07-13,2026-07-15,2,1.72,1.96,0.86,88.0,358.0,350.0,2.23,0.8,0.1,-3.9,12.2,-4.0,-4.8,73.0,44.0,2.9,1,long,Pullback below MA50 — risk-on but stretched,GOOGL_2026-07-13_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,MXL,2026-07-13,2026-07-15,2,-0.47,1.57,3.27,-30.0,93.3,90.0,3.54,0.25,-0.6,3.1,153.8,3.7,-27.3,66.0,49.0,14.7,1,long,Pullback below MA50 — risk-on but stretched,MXL_2026-07-13_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ANET,2026-07-12,2026-07-13,1,-0.54,0.17,1.45,,188.6,183.0,2.97,0.52,12.1,17.6,31.0,5.0,-0.6,96.0,63.0,5.8,2,long,Breakout / near 52W high,ANET_2026-07-12_000,Breakout,high
,AVGO,2026-07-09,2026-07-15,4,-0.52,0.26,0.84,-197.0,401.8,380.0,5.43,1.32,5.4,-1.0,11.3,-6.1,-3.1,56.0,54.0,4.1,3,long,Pullback below MA50 — risk-on but stretched,AVGO_2026-07-09_000,Breakout（临界，base 顶下 2-4%）,low
,GOOGL,2026-07-09,2026-07-16,5,1.93,3.28,0.82,59.0,355.91,350.0,1.66,0.5,-0.5,-4.4,11.9,-3.9,-5.3,76.0,48.0,3.3,1,long,Pullback below MA50 — risk-on but stretched,GOOGL_2026-07-09_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,DOCN,2026-07-08,2026-07-10,2,-1.59,0.72,3.28,-219.0,144.87,140.0,3.36,0.36,-7.7,-4.6,80.9,3.4,-22.7,70.0,44.0,9.7,2,long,Pullback below MA50 — risk-on but stretched,DOCN_2026-07-08_000,Other — 对不上三类,low
,NBIS,2026-07-08,2026-07-09,1,-0.34,0.74,2.55,-46.0,221.18,210.0,5.05,0.39,-9.7,1.3,64.2,12.2,-26.2,65.0,45.0,13.2,1,long,Pullback below MA50 — risk-on but stretched,NBIS_2026-07-08_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,NBIS,2026-07-08,2026-07-10,2,-1.0,1.71,3.41,-59.0,217.2,210.0,3.31,0.25,-11.4,-0.5,61.3,12.2,-27.6,65.0,45.0,13.2,1,long,Pullback below MA50 — risk-on but stretched,NBIS_2026-07-08_001,Pullback — U&R 或 30m Pivot（手标定）,mid
,AMBA,2026-07-07,2026-07-13,4,0.0,1.19,0.5,0.0,73.54,68.0,7.53,0.73,5.0,-0.5,2.7,-5.3,-21.8,49.0,49.0,10.5,1,long,Pullback below MA50 — risk-on but stretched,AMBA_2026-07-07_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,SOXL,2026-07-07,2026-07-08,1,0.0,4.12,4.03,0.0,163.27,160.0,2.0,0.08,-28.3,-17.7,84.4,14.9,-45.9,51.0,43.0,26.3,1,long,Pullback below MA50 — risk-on but stretched,SOXL_2026-07-07_000,Other — 对不上三类,low
,LLY,2026-07-05,2026-07-13,6,-0.35,2.09,1.23,-17.0,1195.1,1170.0,2.1,0.65,4.3,13.5,21.8,8.8,-3.3,96.0,67.0,3.2,2,long,Breakout / near 52W high,LLY_2026-07-05_000,Breakout（临界，base 顶下 2-4%）,low
,FNGU,2026-06-28,2026-06-29,1,0.25,0.64,0.14,39.0,24.58,23.0,6.43,0.66,-14.1,-11.2,-3.7,3.3,-33.2,45.0,41.0,10.0,1,long,Long below MA200 — counter-trend,FNGU_2026-06-28_000,Counter-trend (below MA200) — 三类之外,high
,INTC,2026-06-28,2026-07-02,4,0.0,2.0,1.05,0.0,126.11,118.0,6.43,0.74,5.6,16.4,116.6,10.2,-10.8,89.0,57.0,8.5,1,long,Long in mixed structure,INTC_2026-06-28_000,Other — 对不上三类,low
,TQQQ,2026-06-28,2026-07-02,4,0.8,2.0,0.62,40.0,73.85,70.0,5.21,0.62,-6.2,1.0,30.2,7.6,-16.0,68.0,45.0,8.6,2,long,Pullback below MA50 — risk-on but stretched,TQQQ_2026-06-28_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,BUG,2026-06-25,2026-07-20,17,3.08,4.55,0.52,68.0,34.75,33.0,5.04,1.54,-0.4,10.3,13.0,10.8,-10.3,71.0,55.0,3.3,3,long,Long in mixed structure,BUG_2026-06-25_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,SLV,2026-06-25,2026-07-08,9,-0.53,1.84,0.74,-29.0,52.89,51.0,3.57,0.64,-14.2,-20.8,-14.8,-7.7,-23.7,24.0,29.0,5.7,1,long,Long below MA200 — counter-trend,SLV_2026-06-25_000,Counter-trend (below MA200) — 三类之外,high
,SLV,2026-06-24,2026-07-08,10,-0.23,1.12,0.9,-20.0,53.0,50.0,5.66,1.02,-15.1,-21.1,-14.6,-7.1,-23.6,23.0,27.0,5.7,2,long,Long below MA200 — counter-trend,SLV_2026-06-24_000,Counter-trend (below MA200) — 三类之外,high
