date,high,low,close
2024-06-27,800.0,-611.0,-243.0
2024-06-28,1278.0,-902.0,-117.0
2024-07-01,722.0,-1127.0,-512.0
2024-07-02,719.0,-978.0,265.0
2024-07-03,952.0,-552.0,-42.0
2024-07-05,607.0,-676.0,-88.0
2024-07-08,995.0,-589.0,-581.0
2024-07-09,593.0,-1056.0,-264.0
2024-07-10,1197.0,-940.0,137.0
2024-07-11,1764.0,-732.0,331.0
2024-07-12,1466.0,-680.0,370.0
2024-07-15,818.0,-442.0,-113.0
2024-07-16,1274.0,-990.0,58.0
2024-07-17,813.0,-1027.0,-36.0
2024-07-18,718.0,-932.0,-368.0
2024-07-19,722.0,-1420.0,-864.0
2024-07-22,1101.0,-689.0,-317.0
2024-07-23,970.0,-860.0,84.0
2024-07-24,708.0,-1088.0,155.0
2024-07-25,919.0,-1326.0,3.0
2024-07-26,1567.0,-1224.0,48.0
2024-07-29,978.0,-1002.0,-187.0
2024-07-30,947.0,-931.0,-627.0
2024-07-31,1210.0,-779.0,-305.0
2024-08-01,1237.0,-1257.0,-424.0
2024-08-02,978.0,-1260.0,3.0
2024-08-05,835.0,-1606.0,13.0
2024-08-06,1204.0,-1041.0,-697.0
2024-08-07,1755.0,-1031.0,287.0
2024-08-08,1173.0,-1316.0,-142.0
2024-08-09,912.0,-940.0,-684.0
2024-08-12,585.0,-1028.0,-164.0
2024-08-13,1356.0,-1182.0,-113.0
2024-08-14,1024.0,-791.0,397.0
2024-08-15,1530.0,-1045.0,-253.0
2024-08-16,871.0,-863.0,262.0
2024-08-19,734.0,-336.0,-63.0
2024-08-20,790.0,-629.0,-267.0
2024-08-21,1507.0,-781.0,339.0
2024-08-22,911.0,-905.0,172.0
2024-08-23,1713.0,-1275.0,451.0
2024-08-26,1517.0,-901.0,-262.0
2024-08-27,656.0,-1084.0,-254.0
2024-08-28,811.0,-793.0,-79.0
2024-08-29,1392.0,-965.0,302.0
2024-08-30,1120.0,-1177.0,-656.0
2024-09-03,541.0,-972.0,-29.0
2024-09-04,811.0,-996.0,-619.0
2024-09-05,989.0,-912.0,-556.0
2024-09-06,1036.0,-1070.0,-577.0
2024-09-09,757.0,-819.0,386.0
2024-09-10,893.0,-1061.0,27.0
2024-09-11,924.0,-1113.0,290.0
2024-09-12,1319.0,-1019.0,47.0
2024-09-13,1565.0,-1226.0,-10.0
2024-09-16,1344.0,-723.0,-519.0
2024-09-17,1299.0,-649.0,144.0
2024-09-18,825.0,-1484.0,72.0
2024-09-19,1775.0,-1286.0,323.0
2024-09-20,845.0,-963.0,-310.0
2024-09-23,1065.0,-715.0,9.0
