_meta,startingCapital,1000000
_meta,exportDate,2026-07-26
Ticker,Direction,Sector,Entry Date,Entry Price,Original Qty,Current Qty,Stop Price,Initial Stop,Closed,Trim1 Date,Trim1 Price,Trim1 Qty,Trim1 Type,Trim2 Date,Trim2 Price,Trim2 Qty,Trim2 Type,Trim3 Date,Trim3 Price,Trim3 Qty,Trim3 Type
USO,short,Unknown,2026-03-30T15:00:00.000Z,128.9,552,0,130,130,YES,2026-04-02,130,552,sell_rest,,,,,,,,
APA,short,Unknown,2026-03-30T15:00:00.000Z,43.23,1176,0,44.6,44.6,YES,2026-04-02,43.49,1176,sell_rest,,,,,,,,
APA,short,Unknown,2026-03-30T15:00:00.000Z,42.5,1922,0,43.32,43.32,YES,2026-04-02,42.5,1922,sell_rest,,,,,,,,
MRNA,long,Unknown,2026-03-31T15:00:00.000Z,51.48,1371,0,49,49,YES,2026-04-06,48.7,1371,sell_rest,,,,,,,,
MRVL,long,Unknown,2026-03-31T15:00:00.000Z,102.5,1475,0,99,99,YES,2026-04-09,119.1,737,trim_1_2,2026-04-09,119.3,295,trim_1_5,2026-04-13,130.4,443,sell_rest
PL,long,Unknown,2026-03-31T15:00:00.000Z,29.38,3432,0,28.58,28.58,YES,2026-04-01,28.9,3432,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-31T15:00:00.000Z,29.4,2743,0,28.58,28.58,YES,2026-04-02,34.5,548,trim_1_5,2026-04-02,34.75,914,trim_1_3,2026-06-05,35.56,1281,sell_rest
AXTI,short,Unknown,2026-03-31T15:00:00.000Z,55.48,3089,0,57.5,57.5,YES,2026-04-01,50.45,617,trim_1_5,2026-04-02,50,1029,trim_1_3,2026-04-06,42.84,1443,trim_1_2
BE,long,Unknown,2026-04-05T15:00:00.000Z,136.7,305,0,134,134,YES,2026-04-06,137,305,sell_rest,,,,,,,,
BE,long,Unknown,2026-04-05T15:00:00.000Z,138.9,375,0,135,135,YES,2026-04-06,138,375,sell_rest,,,,,,,,
ARKK,short,Unknown,2026-04-05T15:00:00.000Z,69,1511,0,69.8,69.8,YES,2026-04-09,68.8,1511,sell_rest,,,,,,,,
CAR,short,Unknown,2026-04-06T15:00:00.000Z,228.2,695,0,230,230,YES,2026-04-07,214.76,139,trim_1_5,2026-04-07,229,556,sell_rest,,,,
DE,long,Unknown,2026-04-07T15:00:00.000Z,603.9,315,0,590,590,YES,2026-04-13,600,315,sell_rest,,,,,,,,
CENX,long,Unknown,2026-04-07T15:00:00.000Z,65.7,1287,0,62.4,62.4,YES,2026-04-14,64.36,1287,sell_rest,,,,,,,,
METU,long,Unknown,2026-04-07T15:00:00.000Z,25.1,3789,0,23.9,23.9,YES,2026-04-08,26.85,1263,trim_1_3,2026-04-09,26.62,1263,trim_1_3,2026-04-21,30.35,1263,sell_rest
LLY,long,Unknown,2026-04-07T15:00:00.000Z,959,110,0,920,920,YES,2026-04-13,927.9,110,sell_rest,,,,,,,,
BE,long,Unknown,2026-04-08T15:00:00.000Z,147.2,990,0,137,137,YES,2026-04-14,204.16,330,trim_1_3,2026-04-23,237.1,330,trim_1_3,2026-04-28,224.74,330,sell_rest
YSS,long,Unknown,2026-04-08T15:00:00.000Z,28.77,1809,0,27.95,27.95,YES,2026-04-28,30.84,1809,sell_rest,,,,,,,,
KLIC,long,Unknown,2026-04-08T15:00:00.000Z,73.9,1268,0,68,68,YES,2026-04-24,86.9,634,trim_1_2,2026-04-28,83.1,634,sell_rest,,,,
NBIS,long,Unknown,2026-04-05T15:00:00.000Z,112.1,279,0,107,107,YES,2026-04-24,147.98,139,trim_1_2,2026-04-28,136.86,140,sell_rest,,,,
PL,long,Unknown,2026-04-12T15:00:00.000Z,34.5,1649,0,32,32,YES,2026-05-08,39.23,549,trim_1_3,2026-05-27,51.93,1100,sell_rest,,,,
MU,long,Unknown,2026-04-12T15:00:00.000Z,416.9,463,0,412,412,YES,2026-04-14,429.21,92,trim_1_5,2026-04-15,449.2,154,trim_1_3,2026-04-28,497.12,217,sell_rest
IREN,long,Unknown,2026-04-12T15:00:00.000Z,41.4,2748,0,40,40,YES,2026-04-14,44.9,549,trim_1_5,2026-04-16,49.4,916,trim_1_3,2026-04-16,46.36,1283,sell_rest
ARM,long,Unknown,2026-04-12T15:00:00.000Z,153.92,369,0,140,140,YES,2026-04-23,194.24,184,trim_1_2,2026-04-23,201.38,185,sell_rest,,,,
