bucket,depth,p2t,t2r,uw,peak,trough_date
0–5%,0.3681814316342735,1,1,2,1998-02-18,1998-02-19
0–5%,0.7301477592359662,1,1,2,1998-02-23,1998-02-24
0–5%,0.1562901158687291,3,1,4,1998-02-27,1998-03-02
0–5%,1.6130843888965463,2,1,3,1998-03-03,1998-03-05
0–5%,0.32015866401055026,3,1,4,1998-03-06,1998-03-09
0–5%,0.1224445322959955,1,3,4,1998-03-12,1998-03-13
0–5%,0.32843127836763575,3,1,4,1998-03-20,1998-03-23
0–5%,1.089861037583828,6,2,8,1998-03-24,1998-03-30
0–5%,1.874937888421624,5,9,14,1998-04-03,1998-04-08
0–5%,4.7349078712209725,54,9,63,1998-04-22,1998-06-15
0–5%,0.31777201207729977,1,1,2,1998-06-24,1998-06-25
0–5%,0.40843788298088324,1,1,2,1998-06-29,1998-06-30
0–5%,0.1863215277621344,1,4,5,1998-07-01,1998-07-02
0–5%,0.23069668775373975,1,1,2,1998-07-06,1998-07-07
0–5%,0.6704458458071882,1,5,6,1998-07-08,1998-07-09
0–5%,0.2352194809953856,1,1,2,1998-07-14,1998-07-15
15–20%,19.33599921661049,45,84,129,1998-07-17,1998-08-31
0–5%,0.4393138312867251,1,3,4,1998-11-23,1998-11-24
0–5%,4.288242916583018,17,7,24,1998-11-27,1998-12-14
0–5%,0.24826613143618115,5,1,6,1998-12-23,1998-12-28
0–5%,1.1040402606609656,6,1,7,1998-12-29,1999-01-04
0–5%,0.2051327020824778,1,1,2,1999-01-06,1999-01-07
0–5%,4.932987169544278,6,15,21,1999-01-08,1999-01-14
0–5%,4.962333099394812,11,27,38,1999-01-29,1999-02-09
0–5%,0.22530187119984557,1,1,2,1999-03-08,1999-03-09
0–5%,0.23812401845804132,1,3,4,1999-03-11,1999-03-12
0–5%,0.7221259279747261,2,1,3,1999-03-15,1999-03-17
0–5%,4.132773701092374,5,13,18,1999-03-18,1999-03-23
0–5%,0.24448804655806677,1,1,2,1999-04-05,1999-04-06
5–10%,5.089687712294189,7,3,10,1999-04-12,1999-04-19
0–5%,0.1449765812243875,1,3,4,1999-04-22,1999-04-23
0–5%,2.26005633435441,7,8,15,1999-04-27,1999-05-04
5–10%,6.299542303293782,14,34,48,1999-05-13,1999-05-27
0–5%,0.22282425865197686,4,1,5,1999-07-02,1999-07-06
0–5%,0.10315801164594296,1,1,2,1999-07-07,1999-07-08
0–5%,0.6926608018497427,4,2,6,1999-07-09,1999-07-13
10–15%,12.078686729338573,91,32,123,1999-07-16,1999-10-15
0–5%,0.6591214310268323,1,1,2,1999-11-16,1999-11-17
0–5%,2.528521110230453,12,3,15,1999-11-18,1999-11-30
0–5%,2.102142179332722,11,7,18,1999-12-03,1999-12-14
0–5%,0.08502751508133732,4,2,6,1999-12-23,1999-12-27
5–10%,9.24893752924536,56,25,81,1999-12-31,2000-02-25
