report_date,open_interest_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,dealer_positions_long_all,dealer_positions_short_all
2014-02-18,409111,28079,19588,66828,90345,80551,68125
2014-02-25,367042,33917,18401,70104,91414,64652,54809
2014-03-04,362996,37495,19589,60384,90203,65633,47201
2014-03-11,355040,44084,19581,61692,90209,58509,48998
2014-03-18,336625,42883,16422,54413,72503,49924,48993
2014-03-25,335826,47887,19254,58466,80183,45565,48625
2014-04-01,357046,50486,21861,69263,108762,65748,46668
2014-04-08,359952,49751,23372,61513,106680,66641,39839
2014-04-15,368887,37821,21898,57855,107995,78719,38447
2014-04-22,362130,42601,20412,64064,121170,74569,32067
2014-04-29,365215,47694,21125,60954,136976,84172,31153
2014-05-06,391848,56855,24792,50214,149845,93857,26762
2014-05-13,419669,61151,27539,71833,174652,100991,28608
2014-05-20,425151,60451,29375,86181,174608,88196,27674
2014-05-27,420366,56748,27160,82267,177679,89325,24706
2014-06-03,448926,61667,31002,99999,191964,84315,23054
2014-06-10,457503,55070,35766,102089,192832,87384,20311
2014-06-17,456312,53359,28189,91664,185492,92784,19906
2014-06-24,424966,57165,27404,76985,178592,87179,15828
2014-07-01,449836,50347,28466,85636,187273,101413,20157
2014-07-08,457197,48533,29528,88100,187222,104640,22021
2014-07-15,435001,41792,29049,79750,163173,103979,28088
2014-07-22,414392,43537,30649,80909,151421,91073,28454
2014-07-29,419946,45403,32393,74143,154811,97843,27924
2014-08-05,409891,33856,23871,77067,131646,82247,32803
2014-08-12,390841,23582,23850,75484,83168,71625,57964
2014-08-19,418454,33742,28986,89697,95750,66487,61609
2014-08-26,414365,49869,29437,82445,112742,64951,45640
2014-09-02,409378,54756,30767,76241,111561,61666,42862
2014-09-09,425310,59555,32936,85662,123437,61706,41467
2014-09-16,413477,52857,32445,72963,121200,76679,41983
2014-09-23,389039,56061,24871,69771,126875,80367,38482
2014-09-30,358837,35662,27787,55488,91934,73712,33017
2014-10-07,365241,38247,26535,53536,79092,72690,48644
2014-10-14,407816,33668,19602,76149,78937,82256,93997
2014-10-21,422049,15333,17692,101216,51686,77177,129967
2014-10-28,355595,9418,21523,94637,35868,53274,103345
2014-11-04,354875,27150,20374,80730,44036,48829,86743
2014-11-11,392934,29851,26936,95096,54694,52612,96002
2014-11-18,385463,50476,25810,75010,58615,45533,79726
2014-11-25,369744,46095,29018,72040,71232,56397,72141
2014-12-02,373854,47919,30900,61941,75639,62515,64916
2014-12-09,361415,54410,31758,49437,75974,64992,59382
2014-12-16,324703,35285,22698,50323,84297,58605,38901
2014-12-23,325276,9626,23022,71175,52674,63255,70451
2014-12-30,308318,16544,24088,62780,52156,66206,70157
2015-01-06,285927,25948,22437,57343,59133,52617,57555
2015-01-13,295473,27100,18488,64803,64820,49267,59223
2015-01-20,306961,26091,17002,69582,56617,31017,58078
2015-01-27,275472,25133,16931,66947,37267,26234,69659
2015-02-03,275773,20930,16416,84352,46161,17575,62874
2015-02-10,296263,31576,18124,83195,65734,19043,53117
2015-02-17,329988,44032,22565,78120,65900,17440,52832
2015-02-24,308036,55038,25511,72670,77895,25552,45894
2015-03-03,337070,72600,29882,52925,107373,48052,28837
2015-03-10,355240,88231,32840,39304,124322,58209,19288
2015-03-17,353684,78358,33565,39753,120388,64900,20034
2015-03-24,349371,92095,37689,37039,137946,71925,13506
2015-03-31,354795,88142,37703,31729,134850,84678,17565
2015-04-07,379421,83311,38122,46942,151630,83530,14882
2015-04-14,399783,73356,38040,46273,156965,95154,14594
2015-04-21,368262,81317,40424,43509,158606,103333,21632
2015-04-28,389284,83139,41296,50809,179817,115061,20544
2015-05-05,395445,89412,41730,43614,181904,117156,15544
2015-05-12,386206,87337,40353,38543,174214,114446,14945
2015-05-19,418584,72714,39608,61278,173809,107126,19638
2015-05-26,385211,77151,38817,47144,174592,111410,15368
2015-06-02,379061,74759,38076,43105,176150,116350,13389
2015-06-09,365614,67843,38515,41385,166978,117736,16192
2015-06-16,373381,53221,37297,54399,165023,115738,18728
2015-06-23,366536,81860,40959,51730,160122,94427,15790
2015-06-30,336956,68963,38135,43069,137116,84342,13143
2015-07-07,316571,49853,33962,57892,110185,70959,27015
2015-07-14,329967,49905,33553,56698,96335,75385,43455
2015-07-21,368795,54693,41158,91507,128015,75303,43781
2015-07-28,317371,55035,40958,67677,127354,74009,18853
2015-08-04,332508,58560,42595,71919,132475,74105,17688
2015-08-11,350640,60084,40978,64921,154993,84950,6612
2015-08-18,344113,48975,41481,70970,138061,83914,16084
2015-08-25,318599,39425,25817,77221,109481,65355,47452
2015-09-01,330119,26577,23726,103926,88193,54205,70064
2015-09-08,328265,24544,29448,103819,61157,49308,87264
2015-09-15,358430,20142,30806,107615,43862,48322,104676
2015-09-22,313001,22852,30006,97871,49436,47154,93017
2015-09-29,304870,22716,29618,98700,48037,41111,85345
2015-10-06,323209,21267,29390,97885,36993,44311,101204
2015-10-13,332413,26973,28577,98430,39084,37074,95809
2015-10-20,333525,37218,31617,81426,36183,36252,90496
2015-10-27,312340,40621,33504,71101,44415,43784,81377
2015-11-03,321131,47637,35865,74002,55436,46692,75319
2015-11-10,324542,50984,35683,69591,67217,58657,76558
2015-11-17,297025,51037,32158,48203,69061,60862,66562
2015-11-24,286132,53702,33635,49773,57405,53114,63998
2015-12-01,312156,52516,35776,51355,67815,62527,66601
2015-12-08,295272,60866,34737,40888,77306,62634,56335
2015-12-15,281186,33521,34243,46836,54247,66587,62667
2015-12-22,249793,20875,25162,46215,41452,66589,69039
2015-12-29,265867,49040,26754,38746,55398,64222,68611
2016-01-05,243307,38856,23528,34570,52477,56991,57456
2016-01-12,243063,15999,21628,57436,43517,48355,56478
2016-01-19,277758,25020,6960,71269,63406,41103,62718
2016-01-26,249347,31360,6734,70217,46783,23182,68996
2016-02-02,252613,50169,6942,56338,49274,22900,68661
2016-02-09,261604,44361,7105,63756,60705,21171,67084
2016-02-16,266868,40364,6819,63239,47796,22084,74147
2016-02-23,248064,60477,8935,42913,42397,21757,75788
2016-03-01,273237,67401,11337,49697,52473,23185,75213
2016-03-08,293296,84414,15287,46803,75417,19215,58817
2016-03-15,312450,78514,20744,54729,84987,31756,57494
2016-03-22,322164,95269,33573,40557,124538,44406,23124
2016-03-29,338446,89933,43209,42445,128209,59872,19800
2016-04-05,395270,123923,56904,25211,159981,84137,17561
2016-04-12,408198,114206,55228,27914,158600,96053,17010
2016-04-19,462357,131227,48264,37275,200807,109406,23151
2016-04-26,448613,126371,55251,28938,201295,128058,16194
2016-05-03,451899,116709,57613,24689,191635,129800,11347
2016-05-10,463497,102582,63226,43743,196160,133502,14867
2016-05-17,464177,105718,59167,33305,197081,142495,13505
2016-05-24,438355,111414,61335,33825,195483,137763,11752
2016-05-31,468183,112125,55949,38493,220720,150489,13674
2016-06-07,501258,109238,55335,44555,226939,153658,15365
2016-06-14,436303,98821,48647,21066,179919,135933,15566
2016-06-21,382528,102729,39983,22300,145890,104741,26098
2016-06-28,373156,62784,28294,36989,123994,101785,39159
2016-07-05,412513,101815,14641,37434,159026,98895,54424
2016-07-12,466233,104780,18279,64430,181722,110745,70643
2016-07-19,511186,114784,24078,72721,208570,111203,59661
2016-07-26,491873,114275,31415,56865,221865,135718,43451
2016-08-02,516359,106272,41218,59135,224973,148432,45588
2016-08-09,542622,101764,47013,67380,231626,160998,52338
2016-08-16,541636,98957,41594,83669,240805,146834,44629
2016-08-23,507877,116958,44292,56404,242916,149334,25153
2016-08-30,511241,118679,46750,53897,244443,149514,20809
2016-09-06,547744,113215,50361,56283,251769,157851,21635
2016-09-13,478117,80121,38422,41228,196415,138645,14407
2016-09-20,471105,65402,33516,53886,181839,120294,15039
